id,participant_id,participant_nom,equipe_domicile,equipe_exterieure,score_domicile,score_exterieur,match_id,journee,saison,code_saison
1,7,Dimitri,FC Bayern Munich,Hambourg SV,1,0,1,1,2015-2016,BUN_15-16
2,15,Matthieu,FC Bayern Munich,Hambourg SV,4,1,1,1,2015-2016,BUN_15-16
3,10,Kévin,FC Bayern Munich,Hambourg SV,3,0,1,1,2015-2016,BUN_15-16
4,23,Valentin,FC Bayern Munich,Hambourg SV,2,0,1,1,2015-2016,BUN_15-16
5,7,Dimitri,VfL Wolfsburg,Eintracht Frankfort,2,2,2,1,2015-2016,BUN_15-16
6,15,Matthieu,VfL Wolfsburg,Eintracht Frankfort,3,0,2,1,2015-2016,BUN_15-16
7,10,Kévin,VfL Wolfsburg,Eintracht Frankfort,3,0,2,1,2015-2016,BUN_15-16
8,23,Valentin,VfL Wolfsburg,Eintracht Frankfort,3,1,2,1,2015-2016,BUN_15-16
9,7,Dimitri,Werder Brême,FC Schalke 04,1,2,3,1,2015-2016,BUN_15-16
10,15,Matthieu,Werder Brême,FC Schalke 04,1,2,3,1,2015-2016,BUN_15-16
11,10,Kévin,Werder Brême,FC Schalke 04,1,2,3,1,2015-2016,BUN_15-16
12,23,Valentin,Werder Brême,FC Schalke 04,0,1,3,1,2015-2016,BUN_15-16
13,7,Dimitri,FC Augsbourg,Hertha BSC,1,2,4,1,2015-2016,BUN_15-16
14,15,Matthieu,FC Augsbourg,Hertha BSC,2,1,4,1,2015-2016,BUN_15-16
15,10,Kévin,FC Augsbourg,Hertha BSC,2,0,4,1,2015-2016,BUN_15-16
16,23,Valentin,FC Augsbourg,Hertha BSC,1,1,4,1,2015-2016,BUN_15-16
17,7,Dimitri,Borussia Dortmund,Borussia Monchengladbach,1,2,5,1,2015-2016,BUN_15-16
18,15,Matthieu,Borussia Dortmund,Borussia Monchengladbach,2,1,5,1,2015-2016,BUN_15-16
19,10,Kévin,Borussia Dortmund,Borussia Monchengladbach,3,1,5,1,2015-2016,BUN_15-16
20,23,Valentin,Borussia Dortmund,Borussia Monchengladbach,2,1,5,1,2015-2016,BUN_15-16
21,7,Dimitri,VfB Stuttgart,FC Cologne,2,2,6,1,2015-2016,BUN_15-16
22,15,Matthieu,VfB Stuttgart,FC Cologne,1,1,6,1,2015-2016,BUN_15-16
23,10,Kévin,VfB Stuttgart,FC Cologne,0,0,6,1,2015-2016,BUN_15-16
24,23,Valentin,VfB Stuttgart,FC Cologne,2,0,6,1,2015-2016,BUN_15-16
25,7,Dimitri,SV Darmstadt 98,Hanovre 96,2,1,7,1,2015-2016,BUN_15-16
26,15,Matthieu,SV Darmstadt 98,Hanovre 96,1,2,7,1,2015-2016,BUN_15-16
27,10,Kévin,SV Darmstadt 98,Hanovre 96,1,0,7,1,2015-2016,BUN_15-16
28,23,Valentin,SV Darmstadt 98,Hanovre 96,1,2,7,1,2015-2016,BUN_15-16
29,7,Dimitri,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,2,1,8,1,2015-2016,BUN_15-16
