bonus_id,participant,id_participant,saison,saison_id,code_saison,competition,competition_id,bonus_mi_saison,bonus_fin_saison,regularite,extra_questions,total_bonus,correction
1,Dimitri,7,2015-2016,15,BUN_15-16,Bundesliga,1,1.0,1.0,0.0,0.0,2.0,0.0
2,Dimitri,7,2015-2016,16,PL_15-16,Premier League,16,9.0,-1.0,0.0,0.0,8.0,0.0
3,Dimitri,7,2015-2016,19,EL_15-16,Europa League,7,0.0,43.0,0.0,0.0,43.0,0.0
4,Dimitri,7,2015-2016,18,SER_15-16,Serie A,17,-12.0,1.0,0.0,0.0,-11.0,0.0
5,Dimitri,7,2015-2016,10,L1_15-16,Ligue 1,9,-2.0,2.0,0.0,0.0,0.0,0.0
6,Dimitri,7,2015-2016,11,L2_15-16,Ligue 2,10,-16.0,8.0,0.0,0.0,-8.0,0.0
7,Dimitri,7,2015-2016,20,LdC_15-16,Ligue des Champions,12,44.0,45.0,0.0,0.0,89.0,0.0
8,Dimitri,7,2015-2016,12,NAT_15-16,National,15,2.0,-20.0,0.0,0.0,-18.0,0.0
9,Kévin,10,2015-2016,15,BUN_15-16,Bundesliga,1,9.0,5.0,0.0,0.0,14.0,0.0
10,Kévin,10,2015-2016,16,PL_15-16,Premier League,16,-8.0,9.0,0.0,0.0,1.0,0.0
11,Kévin,10,2015-2016,19,EL_15-16,Europa League,7,0.0,53.0,0.0,0.0,53.0,0.0
12,Kévin,10,2015-2016,18,SER_15-16,Serie A,17,-8.0,10.0,0.0,0.0,2.0,0.0
13,Kévin,10,2015-2016,10,L1_15-16,Ligue 1,9,2.0,17.0,0.0,0.0,19.0,0.0
14,Kévin,10,2015-2016,11,L2_15-16,Ligue 2,10,7.0,10.0,0.0,0.0,17.0,0.0
15,Kévin,10,2015-2016,20,LdC_15-16,Ligue des Champions,12,26.0,44.0,0.0,0.0,70.0,0.0
16,Kévin,10,2015-2016,12,NAT_15-16,National,15,-15.0,0.0,0.0,0.0,-15.0,0.0
17,Matthieu,15,2015-2016,15,BUN_15-16,Bundesliga,1,0.0,-1.0,0.0,0.0,-1.0,0.0
18,Matthieu,15,2015-2016,16,PL_15-16,Premier League,16,-3.0,-9.0,0.0,0.0,-12.0,0.0
19,Matthieu,15,2015-2016,19,EL_15-16,Europa League,7,0.0,51.0,0.0,0.0,51.0,0.0
20,Matthieu,15,2015-2016,18,SER_15-16,Serie A,17,12.0,14.0,0.0,0.0,26.0,0.0
21,Matthieu,15,2015-2016,10,L1_15-16,Ligue 1,9,-4.0,15.0,0.0,0.0,11.0,0.0
22,Matthieu,15,2015-2016,11,L2_15-16,Ligue 2,10,-1.0,8.0,0.0,0.0,7.0,0.0
23,Matthieu,15,2015-2016,20,LdC_15-16,Ligue des Champions,12,44.0,37.0,0.0,0.0,81.0,0.0
24,Matthieu,15,2015-2016,12,NAT_15-16,National,15,-8.0,-4.0,0.0,0.0,-12.0,0.0
25,Valentin,23,2015-2016,15,BUN_15-16,Bundesliga,1,0.0,-1.0,0.0,0.0,-1.0,0.0
