id,nom,pays,ville,code_fifa
1,AC Ajaccio,France,Ajaccio,FRA
2,AC Amiens,France,Amiens,FRA
3,AC Arles-Avignon,France,Arles,FRA
4,AC Carpi,Italie,Carpi,ITA
5,AC Chievo Verone,Italie,Verone,ITA
6,AC Milan,Italie,Milan,ITA
7,AC Pouzauges Réaumur,France,Réaumur,FRA
8,AC Sparta Prague,République Tchèque,Prague,CZE
9,Académie Sportive Moulins Football,France,Moulins,FRA
10,ACF Fiorentina,Italie,Florence,ITA
11,AEK Athènes,Grèce,Athènes,GRE
12,AEK Larnaca,Chypre,Larcana,CYP
13,AFC Astra Giurgiu,Roumanie,Giurgiu,ROU
14,AFC Bournemouth,Angleterre,Bournemouth,ENG
15,AFC Compiègne,France,Compiègne,FRA
16,AFC Creil,France,Creil,FRA
17,AGL Drapeau Fougères Football,France,Fougères,FRA
18,AJ Auxerre,France,Auxerre,FRA
19,Ajax Amsterdam,Pays-Bas,Amsterdam,NED
20,Akhisarspor,Turquie,Akhisar,TUR
21,Amiens SC,France,Amiens,FRA
22,Andrézieux-Bouthéon FC,France,Andrézieux-Bouthéon,FRA
23,Angers SCO,France,Angers,FRA
24,Ankaraspor Kulübü,Turquie,Ankara,TUR
25,APM Metz FC,France,Metz,FRA
26,APOEL Nicosie,Chypre,Nicosie,CYP
27,Apollon Limassol FC,Chypre,Limassol,CYP
28,Arsenal FC,Angleterre,Londres,ENG
29,AS Aixe-Sur-Vienne,France,Aixe-sur-Vienne,FRA
30,AS Beauvais Oise,France,Beauvais,FRA
31,AS Béziers,France,Béziers,FRA
32,AS Clouange,France,Clouange,FRA
33,AS de Saint-Pantaleon de Larche,France,Saint-Pantaléon-de-Larche,FRA
34,AS Dragon,France,Papeete,FRA
35,AS Erstein,France,Erstein,FRA
36,AS Etaples Football,France,Étaples,FRA
37,AS Excelsior,France,Saint-Joseph,FRA
38,AS Frontignan AC,France,Frontignan,FRA
39,AS Jumeaux,France,Bouéni,FRA
40,AS Magenta Nickel,France,Nouméa,FRA
41,AS Marck,France,Marck,FRA
42,AS Misérieux Trévoux,France,Misérieux-Trévoux,FRA
43,AS Monaco,France,Monaco,FRA
44,AS Muret Football,France,Muret,FRA
45,AS Nancy Lorraine,France,Nancy,FRA
46,AS Pagny-Sur-Moselle,France,Pagny-Sur-Moselle,FRA
47,AS Panazol Football,France,Panazol,FRA
48,AS Pirae,France,Pirae,FRA
49,AS Poissy,France,Poissy,FRA
50,AS Réding,France,Réding,FRA
51,AS Rome,Italie,Rome,ITA
52,AS Saint-Etienne,France,Saint-Étienne,FRA
53,AS Saint-Ouen-l'Aumône,France,Saint-Ouen-l'Aumône,FRA
54,AS Saint-Priest ,France,Saint-Priest,FRA
55,AS Savigneux Montbrison,France,Savigneux,FRA
56,AS Steenvoorde,France,Steenvoorde,FRA
57,AS Vitré,France,Vitré,FRA
58,AS Yzeure Auvergne,France,Yzeure,FRA
59,ASC Agouado,France,Apatou,FRA
60,ASC Le Gledar de Kourou,France,Kourou,FRA
61,ASM Belfort,France,Belfort,FRA
62,ASPTT Brest,France,Brest,FRA
63,ASPTT-Cholet,France,Cholet,FRA
64,Asteras Tripolis,Grèce,Tripoli,GRE
65,Aston Villa FC,Angleterre,Birmingham,ENG
66,Atalanta Bergame,Italie,Bergame,ITA
67,Athletic Club,Espagne,Bilbao,ESP
68,Athlético Marseille,France,Marseille,FRA
69,Aviron Bayonnais,France,Bayonne,FRA
70,Avoine OL Chinon Cinais,France,Avoine,FRA
71,AZ Alkmaar,Pays-Bas,Alkmaar,NLD
72,Balma SC,France,Balma,FRA
73,Bayer 04 Leverkusen,Allemagne,Leverkusen,GER
74,Bergerac Perigord FC,France,Bergerac,FRA
75,Berner Sport Club Young Boys,Suisse,Berne,SUI
76,Berre FC,France,Berre,FRA
77,Besançon FC,France,Besançon,FRA
78,Besançon Racing,France,Besançon,FRA
79,Besiktas JK,Turquie,Istanbul,TUR
80,Biarritz Olympique,France,Biarritz,FRA
81,Blagnac FC,France,Blagnac,FRA
82,Blanc-Mesnil Sport Football,France,Blanc-Mesnil,FRA
83,Blois Foot 41,France,Blois,FRA
84,Bologne FC 1909,Italie,Bologne,ITA
85,Borussia Dortmund,Allemagne,Dortmund,GER
86,Borussia Monchengladbach,Allemagne,Mönchengladbach,GER
87,Bourges 18,France,Bourges,FRA
88,Bourges FC,France,Bourges,FRA
89,Bourges Foot,France,Bourges,FRA
90,Burnley FC,Angleterre,Burnley,ENG
91,CA Bastia,France,Bastia,FRA
92,CA Osasuna,Espagne,Pampelune,ESP
93,CA Pontarlier,France,Pontarlier,FRA
94,Cagliari Calcio,Italie,Cagliari,ITA
95,Canet Roussillon FC,France,Canet-en-Roussillon,FRA
96,CD Leganés,Espagne,Leganés,ESP
97,Celtic FC,Ecosse,Glasgow,SCO
98,CEP Palavas,France,Palavas-les-Flots,FRA
99,Cercle Paul Bert Bréquigny Football,France,Rennes,FRA
100,CF Os Belenenses,Portugal,Lisbonne,POR
101,Chamois Niortais FC,France,Niort,FRA
102,Champigny FC 94,France,Champigny-sur-Marne,FRA
103,Chasselay,France,Chasselay,FRA
104,Chassieu Decines FC,France,Chassieu,FRA
105,Chaumont FC,France,Chaumont,FRA
106,Chelsea FC,Angleterre,Londres,ENG
107,Claye Souilly Sports,France,Claye-Souilly,FRA
108,Clermont Foot 63,France,Clermont-Ferrand,FRA
109,Club Athlétique Maurienne Football,France,Saint-Jean-de-Maurienne,FRA
110,Club Atlético de Madrid,Espagne,Madrid,ESP
111,Club Brugge KV,Belgique,Bruges,BEL
112,Club Franciscain,France,Le François,FRA
113,Club Municipal Sportif Oissel,France,Oissel,FRA
114,Club Sportif de Volvic,France,Volvic,FRA
115,Club Sportif Moulien,France,Moule,FRA
116,Cluses-Scionzier FC,France,Cluses,FRA
117,Côte Chaude Sporting Saint-Etienne,France,Saint-Étienne,FRA
118,Crystal Palace FC,Angleterre,Londres,ENG
119,CS Avion,France,Avion,FRA
120,CS Brétigny Football,France,Brétigny,FRA
121,CS Homécourt,France,Homécourt,FRA
122,CS Mainvilliers Football,France,Mainvilliers,FRA
123,CS Sedan Ardennes,France,Sedan,FRA
124,CSKA Moscou,Russie,Moscou,RUS
125,Delfino Pescara 1936,Italie,Pescara,ITA
126,Deportivo Alavès,Espagne,Vitoria-Gasteiz,ESP
127,Deportivo La Corogne,Espagne,La Corogne,ESP
128,Dijon FCO,France,Dijon,FRA
129,Dundalk FC,Irlande,Dundalk,IRL
130,Dynamo Kiev,Ukraine,Kiev,UKR
131,ÉFC Fréjus-Saint-Raphaël,France,Fréjus,FRA
132,Eintracht Frankfort,Allemagne,Francfort-sur-le-Main,GER
133,Empoli FC,Italie,Empoli,ITA
134,En Avant de Guingamp,France,Guingamp,FRA
