id,nom_csv,nom_db,id_nom_db
1,Aberdeen,Aberdeen FC,509
2,Accrington,Accrington Stanley FC,511
3,AFC Wimbledon,AFC Wimbledon,504
4,Ajax,Ajax Amsterdam,19
5,Alaves,Deportivo Alavès,126
6,Albacete,Albacete Balompié,513
7,Aldershot,Aldershot Town FC,517
8,Almeria,Unión Deportiva Almería,523
9,Altrincham,Altrincham FC,524
10,Alverca,FC Alverca,525
11,Amiens,Amiens SC,21
12,Anderlecht,RSC Anderlecht,370
13,Andorra,FC Andorra,529
14,Angers,Angers SCO,23
15,Annecy,FC Annecy,155
16,Antwerp,Royal Antwerp FC,530
17,Arouca,FC Arouca,532
18,Arsenal,Arsenal FC,28
19,Aston Villa,Aston Villa FC,65
20,Atalanta,Atalanta Bergame,66
21,Ath Bilbao,Athletic Club,67
22,Ath Madrid,Club Atlético de Madrid,110
23,Augsburg,FC Augsbourg,156
24,Auxerre,AJ Auxerre,18
25,Avellino,US Avellino,536
26,AVS,AVS Futebol SAD,505
27,AZ Alkmaar,AZ Alkmaar,71
28,Barcelona,FC Barcelone,159
29,Bari,SS Calcio Bari,541
30,Barnet,Barnet FC,542
31,Barnsley,Barnsley FC,543
32,Barrow,Barrow AFC,544
33,Bastia,CA Bastia,91
34,Bayern Munich,FC Bayern Munich,161
35,Benfica,SL Benfica,393
36,Betis,Real Betis Balompié,356
37,Bielefeld,DSC Arminia Bielefeld,552
38,Birmingham,Birmingham City FC,553
39,Blackburn,Blackburn Rovers FC,554
40,Blackpool,Blackpool FC,555
41,Bochum,VfL Bochum,557
42,Bologna,Bologne FC 1909,84
43,Bolton,Bolton Wanderers FC,558
44,Boreham Wood,Boreham Wood Football Club,559
45,Boston Utd,Boston United FC,560
46,Boulogne,US Boulogne Côte d'Opale,450
47,Bournemouth,AFC Bournemouth,14
48,Brackley Town,Brackley Town,561
49,Bradford,Bradford City,562
50,Braintree Town,Braintree Town FC,563
51,Braunschweig,Eintracht Brunswick,564
52,Brentford,Brentford FC,565
53,Brest,Stade Brestois 29,411
54,Brighton,Brighton & Hove Albion FC,567
55,Bristol City,Bristol City FC,568
56,Bristol Rvs,Bristol Rovers FC,569
57,Bromley,Bromley FC,570
58,Burgos,Burgos CF,572
59,Burnley,Burnley FC,90
60,Burton,Burton Albion FC,573
61,Cadiz,Cadiz FC,577
62,Cagliari,Cagliari Calcio,94
63,Cambridge,Cambridge United FC,578
64,Cardiff,Cardiff,584
65,Carlisle,Carlisle United FC,585
66,Carrarese,Carrarese Calcio 1908,586
67,Casa Pia,Casa Pia Atlético Clube,588
68,Castellon,CD Castellón,589
69,Catanzaro,US Catanzaro 1929,591
70,Celta,Real Club Celta de Vigo,357
71,Celtic,Celtic FC,97
72,Cercle Brugge,Cercle Brugge KSV,592
73,Cesena,Cesena FC,593
74,Ceuta,Agrupación Deportiva Ceuta FC,594
75,Charleroi,Royal Charleroi SC,595
76,Charlton,Charlton Athletic FC,597
77,Chelsea,Chelsea FC,106
78,Cheltenham,Cheltenham Town FC,599
79,Chesterfield,Chesterfield FC,602
80,Clermont,Clermont Foot 63,108
81,Club Brugge,Club Brugge KV,111
82,Colchester,Colchester United FC,606
83,Como,Como 1907,607
84,Cordoba,Córdoba CF,609
85,Coventry,Coventry City FC,612
86,Crawley Town,Crawley Town FC,613
87,Cremonese,US Cremonese,614
88,Crewe,Crewe Alexandra FC,615
89,Crystal Palace,Crystal Palace FC,118
90,Cultural Leonesa,Cultural y Deportiva Leonesa,616
91,Darmstadt,SV Darmstadt 98,426
92,Dender,FCV Dender EH,622
93,Derby,Derby County FC,623
94,Doncaster,Doncaster Rovers FC,624
95,Dortmund,Borussia Dortmund,85
96,Dresden,SG Dynamo Dresden,628
97,Dundee,Dundee FC,1058
98,Dundee United,Dundee United FC,631
99,Dunkerque,USL Dunkerque,482
100,Eastleigh,Eastleigh FC,635
101,Eibar,Sociedad Deportiva Eibar,397
