id,id_competition,competition,pays,id_club,club,saison
1,9,Ligue 1,France,422,Stade Rennais,2025-2026
2,9,Ligue 1,France,352,RC Lens,2025-2026
3,9,Ligue 1,France,43,AS Monaco,2025-2026
4,9,Ligue 1,France,320,OGC Nice,2025-2026
5,9,Ligue 1,France,411,Stade Brestois 29,2025-2026
6,9,Ligue 1,France,18,AJ Auxerre,2025-2026
7,9,Ligue 1,France,23,Angers SCO,2025-2026
8,9,Ligue 1,France,188,FC Metz,2025-2026
9,9,Ligue 1,France,194,FC Nantes,2025-2026
10,9,Ligue 1,France,324,Olympique de Marseille,2025-2026
11,9,Ligue 1,France,327,Olympique Lyonnais,2025-2026
12,9,Ligue 1,France,286,Le Havre AC,2025-2026
13,9,Ligue 1,France,433,Toulouse FC,2025-2026
14,9,Ligue 1,France,296,Lille OSC,2025-2026
15,9,Ligue 1,France,185,FC Lorient,2025-2026
16,9,Ligue 1,France,336,Paris FC,2025-2026
17,9,Ligue 1,France,354,RC Strasbourg Alsace,2025-2026
18,9,Ligue 1,France,337,Paris Saint Germain,2025-2026
19,12,Ligue des Champions,Europe,67,Athletic Club,2025-2026
20,12,Ligue des Champions,Europe,345,PSV Eindhoven,2025-2026
21,12,Ligue des Champions,Europe,393,SL Benfica,2025-2026
22,12,Ligue des Champions,Europe,279,Juventus FC,2025-2026
23,12,Ligue des Champions,Europe,358,Real Madrid CF,2025-2026
24,12,Ligue des Champions,Europe,432,Tottenham Hotspur,2025-2026
25,12,Ligue des Champions,Europe,321,Olympiakos,2025-2026
26,12,Ligue des Champions,Europe,394,Slavia Prague,2025-2026
27,12,Ligue des Champions,Europe,19,Ajax Amsterdam,2025-2026
28,12,Ligue des Champions,Europe,161,FC Bayern Munich,2025-2026
29,12,Ligue des Champions,Europe,298,Liverpool FC,2025-2026
30,12,Ligue des Champions,Europe,337,Paris Saint Germain,2025-2026
31,12,Ligue des Champions,Europe,111,Club Brugge KV,2025-2026
32,12,Ligue des Champions,Europe,172,FC Copenhague,2025-2026
33,12,Ligue des Champions,Europe,132,Eintracht Frankfort,2025-2026
34,12,Ligue des Champions,Europe,309,Manchester City FC,2025-2026
35,12,Ligue des Champions,Europe,316,Newcastle United FC,2025-2026
36,12,Ligue des Champions,Europe,401,Sporting CP,2025-2026
37,12,Ligue des Champions,Europe,28,Arsenal FC,2025-2026
38,12,Ligue des Champions,Europe,369,Royal Union Saint-Gilloise,2025-2026
39,12,Ligue des Champions,Europe,346,Qarabag FK,2025-2026
40,12,Ligue des Champions,Europe,85,Borussia Dortmund,2025-2026
41,12,Ligue des Champions,Europe,324,Olympique de Marseille,2025-2026
42,12,Ligue des Champions,Europe,490,Villarreal CF,2025-2026
43,12,Ligue des Champions,Europe,332,Pafos FC,2025-2026
44,12,Ligue des Champions,Europe,232,FK Bodo/Glimt,2025-2026
45,12,Ligue des Champions,Europe,270,Inter Milan,2025-2026
46,12,Ligue des Champions,Europe,106,Chelsea FC,2025-2026
47,12,Ligue des Champions,Europe,110,Club Atlético de Madrid,2025-2026
48,12,Ligue des Champions,Europe,66,Atalanta Bergame,2025-2026
49,12,Ligue des Champions,Europe,43,AS Monaco,2025-2026
50,12,Ligue des Champions,Europe,73,Bayer 04 Leverkusen,2025-2026
51,12,Ligue des Champions,Europe,246,Galatasaray SK,2025-2026
52,12,Ligue des Champions,Europe,407,SSC Naples,2025-2026
53,12,Ligue des Champions,Europe,159,FC Barcelone,2025-2026
54,12,Ligue des Champions,Europe,236,FK Kairat Almaty,2025-2026
55,14,Ligue Europa,Europe,189,FC Midtjylland,2025-2026
56,14,Ligue Europa,Europe,335,PAOK Salonique,2025-2026
57,14,Ligue Europa,Europe,356,Real Betis Balompié,2025-2026
58,14,Ligue Europa,Europe,382,SC Braga,2025-2026
59,14,Ligue Europa,Europe,253,GNK Dinamo Zagreb,2025-2026
60,14,Ligue Europa,Europe,149,Étoile rouge de Belgrade,2025-2026
61,14,Ligue Europa,Europe,386,SC Fribourg,2025-2026
62,14,Ligue Europa,Europe,308,Malmö FF,2025-2026
63,14,Ligue Europa,Europe,320,OGC Nice,2025-2026
64,14,Ligue Europa,Europe,254,Go Ahead Eagles,2025-2026
65,14,Ligue Europa,Europe,296,Lille OSC,2025-2026
