id,id_competition,competition,pays,id_participant,pseudo,saison
1,9,Ligue 1,France,10,Kévin,2025-2026
2,9,Ligue 1,France,15,Matthieu,2025-2026
3,9,Ligue 1,France,5,Cédric,2025-2026
4,9,Ligue 1,France,21,Sébastien,2025-2026
5,9,Ligue 1,France,17,Olivier,2025-2026
6,12,Ligue des Champions,Europe,10,Kévin,2025-2026
7,12,Ligue des Champions,Europe,15,Matthieu,2025-2026
8,14,Ligue Europa,Europe,10,Kévin,2025-2026
9,14,Ligue Europa,Europe,15,Matthieu,2025-2026
10,9,Ligue 1,France,10,Kévin,2024-2025
11,9,Ligue 1,France,15,Matthieu,2024-2025
12,9,Ligue 1,France,22,Titouan,2024-2025
13,9,Ligue 1,France,21,Sébastien,2024-2025
14,9,Ligue 1,France,4,Antoine,2024-2025
15,9,Ligue 1,France,5,Cédric,2024-2025
16,9,Ligue 1,France,6,Damien,2024-2025
17,9,Ligue 1,France,17,Olivier,2024-2025
18,9,Ligue 1,France,10,Kévin,2023-2024
19,9,Ligue 1,France,21,Sébastien,2023-2024
20,9,Ligue 1,France,17,Olivier,2023-2024
21,9,Ligue 1,France,5,Cédric,2023-2024
22,9,Ligue 1,France,19,Raphaël,2023-2024
23,9,Ligue 1,France,18,Pierre,2023-2024
24,9,Ligue 1,France,22,Titouan,2023-2024
25,9,Ligue 1,France,15,Matthieu,2023-2024
26,9,Ligue 1,France,8,Florian,2023-2024
27,9,Ligue 1,France,6,Damien,2023-2024
28,9,Ligue 1,France,4,Antoine,2023-2024
29,9,Ligue 1,France,25,Yohan,2023-2024
30,9,Ligue 1,France,11,Killian,2023-2024
31,9,Ligue 1,France,22,Titouan,2022-2023
32,9,Ligue 1,France,8,Florian,2022-2023
33,9,Ligue 1,France,1,Adrien,2022-2023
34,9,Ligue 1,France,6,Damien,2022-2023
35,9,Ligue 1,France,11,Killian,2022-2023
36,9,Ligue 1,France,10,Kévin,2022-2023
37,9,Ligue 1,France,4,Antoine,2022-2023
