id,competition_id,annee_debut,annee_fin,code,saison,competition
1,9,2014,2015,L1_14-15,2014-2015,Ligue 1
2,10,2014,2015,L2_14-15,2014-2015,Ligue 2
3,15,2014,2015,NAT_14-15,2014-2015,National
4,3,2014,2015,CdF_14-15,2014-2015,Coupe de France
5,1,2014,2015,BUN_14-15,2014-2015,Bundesliga
6,16,2014,2015,PL_14-15,2014-2015,Premier League
7,8,2014,2015,LIG_14-15,2014-2015,Liga
8,17,2014,2015,SER_14-15,2014-2015,Serie A
9,12,2014,2015,LdC_14-15,2014-2015,Ligue des Champions
10,9,2015,2016,L1_15-16,2015-2016,Ligue 1
11,10,2015,2016,L2_15-16,2015-2016,Ligue 2
12,15,2015,2016,NAT_15-16,2015-2016,National
13,3,2015,2016,CdF_15-16,2015-2016,Coupe de France
14,4,2015,2016,CdL_15-16,2015-2016,Coupe de la Ligue
15,1,2015,2016,BUN_15-16,2015-2016,Bundesliga
16,16,2015,2016,PL_15-16,2015-2016,Premier League
17,8,2015,2016,LIG_15-16,2015-2016,Liga
18,17,2015,2016,SER_15-16,2015-2016,Serie A
19,7,2015,2016,EL_15-16,2015-2016,Europa League
20,12,2015,2016,LdC_15-16,2015-2016,Ligue des Champions
21,22,2015,2016,TdC_15-16,2015-2016,Trophée des Champions
22,21,2015,2016,SIT_15-16,2015-2016,Supercoupe d'Italie
23,19,2015,2016,SES_15-16,2015-2016,Supercoupe d'Espagne
24,20,2015,2016,SEU_15-16,2015-2016,Supercoupe d'Europe
25,18,2015,2016,SAL_15-16,2015-2016,Supercoupe d'Allemagne
26,2,2015,2016,CS_15-16,2015-2016,Community Shield
27,9,2016,2017,L1_16-17,2016-2017,Ligue 1
28,10,2016,2017,L2_16-17,2016-2017,Ligue 2
29,15,2016,2017,NAT_16-17,2016-2017,National
30,3,2016,2017,CdF_16-17,2016-2017,Coupe de France
31,4,2016,2017,CdL_16-17,2016-2017,Coupe de la Ligue
32,1,2016,2017,BUN_16-17,2016-2017,Bundesliga
33,16,2016,2017,PL_16-17,2016-2017,Premier League
34,8,2016,2017,LIG_16-17,2016-2017,Liga
35,17,2016,2017,SER_16-17,2016-2017,Serie A
36,7,2016,2017,EL_16-17,2016-2017,Europa League
37,12,2016,2017,LdC_16-17,2016-2017,Ligue des Champions
38,22,2016,2017,TdC_16-17,2016-2017,Trophée des Champions
39,21,2016,2017,SIT_16-17,2016-2017,Supercoupe d'Italie
40,19,2016,2017,SES_16-17,2016-2017,Supercoupe d'Espagne
41,20,2016,2017,SEU_16-17,2016-2017,Supercoupe d'Europe
42,18,2016,2017,SAL_16-17,2016-2017,Supercoupe d'Allemagne
43,2,2016,2017,CS_16-17,2016-2017,Community Shield
44,7,2018,2019,EL_18-19,2018-2019,Europa League
45,12,2018,2019,LdC_18-19,2018-2019,Ligue des Champions
46,9,2018,2019,L1_18-19,2018-2019,Ligue 1
47,9,2019,2020,L1_19-20,2019-2020,Ligue 1
48,9,2020,2021,L1_20-21,2020-2021,Ligue 1
49,9,2021,2022,L1_21-22,2021-2022,Ligue 1
50,12,2021,2022,LdC_21-22,2021-2022,Ligue des Champions
51,10,2022,2023,L2_22-23,2022-2023,Ligue 2
52,9,2022,2023,L1_22-23,2022-2023,Ligue 1
53,12,2022,2023,LdC_22-23,2022-2023,Ligue des Champions
54,7,2022,2023,EL_22-23,2022-2023,Europa League
55,11,2022,2023,LC_22-23,2022-2023,Ligue Conference
56,9,2023,2024,L1_23-24,2023-2024,Ligue 1
57,9,2024,2025,L1_24-25,2024-2025,Ligue 1
58,12,2025,2026,LdC_25-26,2025-2026,Ligue des Champions
59,9,2025,2026,L1_25-26,2025-2026,Ligue 1
60,14,2025,2026,LE_25-26,2025-2026,Ligue Europa
